Video Filename,Servo1 Angle,Servo2 Angle,Servo3 Angle,Joint1 Position,Joint2 Position,Joint3 Position,EndEffector Position
seg1_60_seg2_0_seg3_30.avi,60,0,30,"(67, 230)","(92, 313)","(152, 358)","(191, 341)"
seg1_60_seg2_0_seg3_0.avi,60,0,0,"(68, 231)","(120, 301)","(193, 312)","(220, 281)"
